txn_id,account_id,timestamp,txn_type,channel,amount,merchant_category,device_info,ip_address,is_flagged
T0000036,A00092,2025-12-02T22:45:00,CREDIT,BRANCH,18614.5,DINING,ANDROID 10,192.168.126.183,0
T0000037,A00019,2025-12-01T14:36:00,CREDIT,NETBANKING,38031.0,E-COM,iOS 14,192.168.184.28,0
T0000038,A00024,2025-12-01T09:21:00,CREDIT,BRANCH,36023.75,RENT,ANDROID 7,192.168.95.111,0
T0000039,A00115,2025-12-02T23:01:00,CREDIT,UPI,2674.88,TRAVEL,ANDROID 11,192.168.197.4,0
T0000040,A00075,2025-12-02T13:14:00,CREDIT,UPI,72498.14,UTILITIES,ANDROID 8,192.168.194.44,0
T0000041,A00036,2025-12-02T03:21:00,CREDIT,ATM,49337.74,FUEL,ANDROID 10,192.168.215.77,0
T0000042,A00124,2025-12-03T14:25:00,DEBIT,ATM,25207.39,UTILITIES,iOS 15,192.168.100.118,0
T0000043,A00028,2025-12-01T18:14:00,CREDIT,UPI,94884.91,TRAVEL,iOS 15,192.168.168.113,1
T0000044,A00086,2025-12-02T14:23:00,DEBIT,ATM,32100.48,UTILITIES,ANDROID 8,192.168.203.248,0
T0000045,A00082,2025-12-02T04:53:00,CREDIT,NETBANKING,32622.33,RENT,iOS 15,192.168.186.30,0
T0000046,A00145,2025-12-01T22:38:00,DEBIT,UPI,95302.81,HEALTH,iOS 13,192.168.224.205,1
T0000047,A00075,2025-12-03T17:44:00,DEBIT,BRANCH,67314.12,E-COM,iOS 13,192.168.129.169,0
T0000048,A00040,2025-12-03T09:49:00,CREDIT,BRANCH,7442.82,HEALTH,ANDROID 14,192.168.214.140,0
T0000049,A00010,2025-12-03T14:58:00,CREDIT,UPI,10981.47,UTILITIES,iOS 14,192.168.85.166,0
T0000050,A00157,2025-12-01T12:01:00,CREDIT,ATM,96573.39,DINING,ANDROID 7,192.168.132.57,0
T0000051,A00131,2025-12-03T11:59:00,DEBIT,BRANCH,37443.25,HEALTH,iOS 16,192.168.77.89,0
T0000052,A00007,2025-12-02T17:57:00,DEBIT,ATM,41626.74,FUEL,ANDROID 8,192.168.178.80,0
T0000053,A00088,2025-12-02T16:05:00,DEBIT,BRANCH,34862.61,FUEL,ANDROID 13,192.168.163.18,0
T0000054,A00077,2025-12-01T12:03:00,DEBIT,UPI,84925.54,FUEL,iOS 13,192.168.124.133,1
T0000055,A00045,2025-12-02T22:40:00,DEBIT,ATM,56006.9,HEALTH,ANDROID 12,192.168.94.48,0
T0000056,A00164,2025-12-03T05:52:00,CREDIT,BRANCH,2967.77,UTILITIES,ANDROID 12,192.168.199.2,0
T0000057,A00181,2025-12-01T23:39:00,DEBIT,ATM,75244.93,FUEL,ANDROID 14,192.168.95.94,0
T0000058,A00084,2025-12-01T22:27:00,CREDIT,UPI,26272.22,HEALTH,ANDROID 11,192.168.198.157,0
T0000059,A00101,2025-12-03T01:04:00,DEBIT,ATM,35230.89,HEALTH,iOS 17,192.168.152.236,0
T0000060,A00158,2025-12-03T01:17:00,DEBIT,NETBANKING,31352.92,UTILITIES,ANDROID 8,192.168.191.178,0
T0000061,A00037,2025-12-02T19:52:00,CREDIT,BRANCH,59662.76,DINING,ANDROID 13,192.168.88.143,0
T0000062,A00043,2025-12-02T18:25:00,CREDIT,NETBANKING,18750.5,HEALTH,iOS 14,192.168.4.125,0
T0000063,A00035,2025-12-01T22:19:00,CREDIT,BRANCH,40942.98,HEALTH,ANDROID 13,192.168.250.43,0
T0000064,A00022,2025-12-02T23:35:00,DEBIT,NETBANKING,29244.39,RENT,ANDROID 10,192.168.86.200,0
T0000065,A00118,2025-12-02T23:36:00,CREDIT,UPI,57292.77,RENT,iOS 14,192.168.21.195,0
T0000066,A00185,2025-12-02T15:07:00,DEBIT,BRANCH,10286.52,UTILITIES,ANDROID 6,192.168.230.68,0
T0000067,A00090,2025-12-03T19:51:00,DEBIT,BRANCH,86535.78,FUEL,iOS 13,192.168.107.208,0
T0000068,A00189,2025-12-03T01:08:00,CREDIT,BRANCH,16639.86,E-COM,iOS 13,192.168.30.146,0
T0000069,A00090,2025-12-02T21:20:00,CREDIT,NETBANKING,32399.18,RENT,ANDROID 10,192.168.48.35,0
T0000070,A00193,2025-12-03T14:38:00,CREDIT,UPI,99249.0,E-COM,iOS 13,192.168.127.38,1
T0000071,A00183,2025-12-02T06:59:00,DEBIT,BRANCH,48971.4,RENT,iOS 15,192.168.231.20,0
T0000072,A00163,2025-12-03T15:14:00,DEBIT,BRANCH,51585.57,RENT,iOS 14,192.168.232.244,0
T0000073,A00125,2025-12-02T07:20:00,DEBIT,UPI,73106.65,HEALTH,iOS 17,192.168.183.218,0
T0000074,A00017,2025-12-03T15:19:00,CREDIT,NETBANKING,96814.45,UTILITIES,ANDROID 11,192.168.145.87,1
T0000075,A00141,2025-12-03T00:27:00,DEBIT,BRANCH,78840.95,GROCERY,ANDROID 13,192.168.8.32,0
T0000076,A00041,2025-12-02T15:07:00,CREDIT,UPI,99184.23,DINING,ANDROID 8,192.168.154.41,1
T0000077,A00071,2025-12-01T15:22:00,CREDIT,ATM,8287.93,E-COM,ANDROID 10,192.168.119.110,0
T0000078,A00168,2025-12-01T15:13:00,DEBIT,UPI,21381.45,FUEL,ANDROID 9,192.168.227.3,0
T0000079,A00003,2025-12-03T08:29:00,CREDIT,UPI,98816.08,DINING,iOS 15,192.168.36.59,1
T0000080,A00099,2025-12-01T15:05:00,DEBIT,UPI,31369.48,RENT,ANDROID 8,192.168.73.18,0
T0000081,A00136,2025-12-02T23:27:00,DEBIT,NETBANKING,44037.94,UTILITIES,iOS 13,192.168.210.158,0
T0000082,A00176,2025-12-02T15:12:00,DEBIT,UPI,89664.46,E-COM,iOS 16,192.168.196.90,1
T0000083,A00110,2025-12-02T06:28:00,DEBIT,NETBANKING,27732.92,FUEL,ANDROID 10,192.168.13.218,0
T0000084,A00169,2025-12-03T20:47:00,CREDIT,NETBANKING,51799.03,UTILITIES,iOS 14,192.168.27.201,0
T0000085,A00062,2025-12-02T18:47:00,CREDIT,UPI,24146.12,FUEL,ANDROID 6,192.168.184.240,0
T0000086,A00082,2025-12-01T18:00:00,CREDIT,BRANCH,36572.98,E-COM,iOS 12,192.168.8.151,0
T0000087,A00018,2025-12-01T09:56:00,CREDIT,NETBANKING,4030.69,GROCERY,iOS 15,192.168.146.161,0
T0000088,A00183,2025-12-02T19:12:00,CREDIT,BRANCH,70195.97,FUEL,iOS 16,192.168.78.72,0
T0000089,A00022,2025-12-02T06:09:00,DEBIT,NETBANKING,97432.62,E-COM,ANDROID 12,192.168.33.80,1
T0000090,A00179,2025-12-02T14:51:00,DEBIT,UPI,24485.75,DINING,ANDROID 6,192.168.158.171,0
T0000091,A00190,2025-12-03T05:55:00,DEBIT,UPI,1315.86,E-COM,iOS 13,192.168.254.244,0
T0000092,A00089,2025-12-02T20:42:00,CREDIT,NETBANKING,37218.35,RENT,iOS 12,192.168.15.86,0
T0000093,A00110,2025-12-02T03:34:00,DEBIT,ATM,71246.71,FUEL,ANDROID 14,192.168.184.15,0
T0000094,A00128,2025-12-03T19:39:00,DEBIT,ATM,15773.13,FUEL,iOS 17,192.168.59.59,0
T0000095,A00190,2025-12-02T19:44:00,DEBIT,UPI,85875.97,GROCERY,ANDROID 13,192.168.186.99,1
T0000096,A00039,2025-12-01T21:13:00,DEBIT,BRANCH,22490.31,UTILITIES,ANDROID 11,192.168.138.212,0
T0000097,A00020,2025-12-03T00:01:00,CREDIT,UPI,50228.99,GROCERY,ANDROID 14,192.168.23.245,0
T0000098,A00103,2025-12-01T13:42:00,CREDIT,ATM,77364.07,RENT,ANDROID 14,192.168.233.3,0
T0000099,A00095,2025-12-01T22:41:00,CREDIT,ATM,73970.62,UTILITIES,ANDROID 13,192.168.100.188,0
T0000100,A00140,2025-12-03T12:54:00,DEBIT,NETBANKING,687.47,DINING,ANDROID 14,192.168.177.163,0
T0000101,A00178,2025-12-03T20:53:00,DEBIT,ATM,196.13,DINING,iOS 17,192.168.157.27,0
T0000102,A00053,2025-12-02T21:10:00,DEBIT,BRANCH,49228.29,GROCERY,iOS 13,192.168.143.24,0
T0000103,A00012,2025-12-02T00:48:00,CREDIT,ATM,45872.88,FUEL,ANDROID 14,192.168.68.164,0
T0000104,A00101,2025-12-01T14:06:00,DEBIT,BRANCH,66261.27,E-COM,ANDROID 10,192.168.161.238,0
T0000105,A00101,2025-12-03T08:50:00,CREDIT,ATM,45303.15,UTILITIES,ANDROID 9,192.168.69.200,0
T0000106,A00198,2025-12-03T00:54:00,DEBIT,NETBANKING,10610.49,HEALTH,ANDROID 12,192.168.61.138,0
T0000107,A00092,2025-12-03T13:35:00,DEBIT,BRANCH,30865.36,RENT,iOS 12,192.168.80.207,0
T0000108,A00176,2025-12-02T05:46:00,DEBIT,NETBANKING,83600.68,TRAVEL,ANDROID 9,192.168.182.102,1
T0000109,A00132,2025-12-01T12:20:00,CREDIT,ATM,82017.96,E-COM,ANDROID 12,192.168.231.143,0
T0000110,A00192,2025-12-02T22:33:00,DEBIT,UPI,46231.22,E-COM,ANDROID 6,192.168.113.34,0
T0000111,A00051,2025-12-03T17:13:00,CREDIT,ATM,68644.21,FUEL,ANDROID 10,192.168.38.6,0
T0000112,A00017,2025-12-01T22:29:00,CREDIT,NETBANKING,9243.26,TRAVEL,ANDROID 13,192.168.25.44,0
T0000113,A00147,2025-12-02T14:34:00,CREDIT,BRANCH,2996.76,DINING,ANDROID 9,192.168.95.71,0
T0000114,A00072,2025-12-02T15:26:00,DEBIT,UPI,61429.95,UTILITIES,iOS 15,192.168.210.226,0
T0000115,A00141,2025-12-02T17:42:00,DEBIT,UPI,28013.61,E-COM,ANDROID 14,192.168.127.162,0
T0000116,A00140,2025-12-03T15:15:00,DEBIT,BRANCH,78202.48,TRAVEL,ANDROID 13,192.168.176.234,0
T0000117,A00145,2025-12-02T19:17:00,CREDIT,BRANCH,27080.05,GROCERY,ANDROID 9,192.168.15.230,0
T0000118,A00200,2025-12-02T04:10:00,DEBIT,BRANCH,52966.76,UTILITIES,iOS 12,192.168.126.169,0
T0000119,A00062,2025-12-02T03:11:00,DEBIT,NETBANKING,57590.43,DINING,ANDROID 8,192.168.90.61,0
T0000120,A00152,2025-12-02T06:42:00,CREDIT,UPI,70360.12,TRAVEL,iOS 16,192.168.72.145,0
T0000121,A00049,2025-12-03T18:07:00,CREDIT,ATM,17596.9,GROCERY,ANDROID 9,192.168.112.6,0
T0000122,A00135,2025-12-02T17:37:00,DEBIT,ATM,91793.72,UTILITIES,iOS 14,192.168.90.236,0
T0000123,A00083,2025-12-01T13:03:00,DEBIT,NETBANKING,58681.59,E-COM,iOS 16,192.168.186.246,0
T0000124,A00019,2025-12-02T10:30:00,CREDIT,UPI,33689.28,TRAVEL,ANDROID 8,192.168.223.203,0
T0000125,A00164,2025-12-02T18:15:00,CREDIT,NETBANKING,70732.93,TRAVEL,ANDROID 8,192.168.193.79,0
T0000126,A00188,2025-12-03T08:00:00,CREDIT,NETBANKING,17811.94,GROCERY,iOS 16,192.168.200.218,0
T0000127,A00198,2025-12-02T23:44:00,DEBIT,NETBANKING,60258.75,UTILITIES,iOS 12,192.168.254.37,0
T0000128,A00085,2025-12-03T11:52:00,DEBIT,NETBANKING,34713.67,TRAVEL,ANDROID 7,192.168.171.115,0
T0000129,A00003,2025-12-02T03:06:00,DEBIT,NETBANKING,69332.95,TRAVEL,ANDROID 7,192.168.0.13,0
T0000130,A00099,2025-12-02T14:54:00,CREDIT,NETBANKING,88460.97,HEALTH,iOS 14,192.168.192.26,1
T0000131,A00123,2025-12-03T14:50:00,DEBIT,NETBANKING,45156.18,GROCERY,ANDROID 11,192.168.133.244,0
T0000132,A00027,2025-12-01T14:03:00,CREDIT,NETBANKING,88798.73,E-COM,iOS 16,192.168.47.87,1
T0000133,A00153,2025-12-03T02:53:00,CREDIT,UPI,43160.77,E-COM,iOS 15,192.168.80.14,0
T0000134,A00026,2025-12-02T07:36:00,DEBIT,NETBANKING,40957.52,RENT,iOS 14,192.168.121.25,0
T0000135,A00013,2025-12-02T11:49:00,CREDIT,NETBANKING,5497.76,GROCERY,ANDROID 10,192.168.245.52,0
T0000136,A00025,2025-12-01T10:45:00,DEBIT,NETBANKING,63837.16,FUEL,ANDROID 7,192.168.157.201,0
T0000137,A00102,2025-12-02T17:08:00,CREDIT,ATM,9159.13,DINING,ANDROID 12,192.168.189.48,0
T0000138,A00115,2025-12-01T12:02:00,CREDIT,BRANCH,46532.54,UTILITIES,iOS 16,192.168.31.39,0
T0000139,A00193,2025-12-03T08:32:00,DEBIT,UPI,66830.71,DINING,iOS 16,192.168.116.142,0
T0000140,A00016,2025-12-03T18:23:00,CREDIT,BRANCH,96564.49,HEALTH,ANDROID 9,192.168.243.77,0
T0000141,A00021,2025-12-02T11:57:00,DEBIT,NETBANKING,12072.17,HEALTH,ANDROID 8,192.168.108.207,0
T0000142,A00050,2025-12-01T17:36:00,DEBIT,BRANCH,7882.93,DINING,ANDROID 8,192.168.132.82,0
T0000143,A00187,2025-12-03T16:06:00,DEBIT,UPI,38840.51,DINING,ANDROID 10,192.168.234.235,0
T0000144,A00004,2025-12-03T14:41:00,CREDIT,UPI,41473.52,E-COM,ANDROID 7,192.168.54.145,0
T0000145,A00200,2025-12-01T15:53:00,CREDIT,ATM,87795.46,RENT,ANDROID 13,192.168.242.10,0
T0000146,A00045,2025-12-02T03:48:00,CREDIT,NETBANKING,61843.54,DINING,ANDROID 11,192.168.121.13,0
T0000147,A00191,2025-12-02T17:26:00,CREDIT,ATM,2072.28,RENT,ANDROID 13,192.168.50.249,0
T0000148,A00059,2025-12-01T18:10:00,CREDIT,BRANCH,77414.39,TRAVEL,ANDROID 12,192.168.45.49,0
T0000149,A00114,2025-12-01T23:25:00,CREDIT,BRANCH,75961.35,TRAVEL,iOS 16,192.168.81.17,0
T0000150,A00080,2025-12-03T09:26:00,CREDIT,NETBANKING,78062.62,GROCERY,ANDROID 9,192.168.29.64,0
T0000151,A00009,2025-12-02T16:09:00,DEBIT,ATM,70478.16,RENT,ANDROID 13,192.168.203.163,0
T0000152,A00032,2025-12-03T07:30:00,DEBIT,NETBANKING,37278.05,HEALTH,ANDROID 13,192.168.179.89,0
T0000153,A00042,2025-12-03T18:11:00,CREDIT,UPI,28542.68,DINING,ANDROID 9,192.168.113.166,0
T0000154,A00058,2025-12-03T07:15:00,DEBIT,ATM,65176.15,GROCERY,iOS 17,192.168.4.122,0
T0000155,A00034,2025-12-03T05:11:00,DEBIT,UPI,22415.81,RENT,iOS 17,192.168.140.109,0
T0000156,A00097,2025-12-03T19:08:00,CREDIT,BRANCH,25237.27,HEALTH,ANDROID 14,192.168.203.150,0
T0000157,A00027,2025-12-01T09:30:00,CREDIT,ATM,29882.67,FUEL,ANDROID 11,192.168.141.164,0
T0000158,A00084,2025-12-03T19:48:00,CREDIT,ATM,65629.15,RENT,ANDROID 14,192.168.123.231,0
T0000159,A00015,2025-12-03T15:59:00,CREDIT,ATM,68091.54,GROCERY,iOS 14,192.168.132.233,0
T0000160,A00108,2025-12-02T12:37:00,CREDIT,UPI,58323.22,UTILITIES,ANDROID 9,192.168.243.233,0
T0000161,A00172,2025-12-02T09:28:00,CREDIT,NETBANKING,84071.84,E-COM,ANDROID 13,192.168.65.190,1
T0000162,A00067,2025-12-03T10:30:00,DEBIT,ATM,65460.74,UTILITIES,ANDROID 10,192.168.215.202,0
T0000163,A00085,2025-12-02T10:22:00,CREDIT,ATM,46402.87,FUEL,ANDROID 7,192.168.241.228,0
T0000164,A00050,2025-12-02T19:09:00,DEBIT,BRANCH,53007.36,DINING,ANDROID 8,192.168.70.52,0
T0000165,A00088,2025-12-02T12:56:00,CREDIT,NETBANKING,31672.53,E-COM,iOS 15,192.168.170.162,0
T0000166,A00046,2025-12-02T06:23:00,DEBIT,UPI,45232.72,UTILITIES,iOS 13,192.168.81.126,0
T0000167,A00196,2025-12-03T14:13:00,DEBIT,NETBANKING,61467.25,DINING,ANDROID 13,192.168.196.2,0
T0000168,A00010,2025-12-02T21:26:00,DEBIT,ATM,95009.36,TRAVEL,iOS 16,192.168.97.5,0
T0000169,A00174,2025-12-01T09:16:00,DEBIT,NETBANKING,69367.8,TRAVEL,ANDROID 7,192.168.196.129,0
T0000170,A00151,2025-12-02T05:53:00,DEBIT,UPI,82393.19,RENT,iOS 15,192.168.172.112,1
T0000171,A00176,2025-12-01T18:08:00,CREDIT,BRANCH,35957.13,UTILITIES,ANDROID 12,192.168.9.59,0
T0000172,A00058,2025-12-03T10:38:00,DEBIT,NETBANKING,73420.96,E-COM,ANDROID 6,192.168.192.225,0
T0000173,A00164,2025-12-02T02:27:00,DEBIT,UPI,66213.89,GROCERY,ANDROID 7,192.168.213.114,0
T0000174,A00098,2025-12-01T17:26:00,CREDIT,BRANCH,70201.73,UTILITIES,iOS 17,192.168.4.78,0
T0000175,A00108,2025-12-03T06:10:00,DEBIT,ATM,62298.64,E-COM,ANDROID 7,192.168.60.73,0
T0000176,A00030,2025-12-03T14:34:00,DEBIT,BRANCH,19904.73,UTILITIES,iOS 16,192.168.103.92,0
T0000177,A00181,2025-12-02T12:58:00,CREDIT,NETBANKING,3988.6,HEALTH,iOS 17,192.168.246.85,0
T0000178,A00061,2025-12-01T09:11:00,DEBIT,UPI,90692.66,HEALTH,ANDROID 7,192.168.38.186,1
T0000179,A00186,2025-12-01T15:54:00,CREDIT,NETBANKING,45702.29,RENT,ANDROID 6,192.168.51.209,0
T0000180,A00045,2025-12-03T20:40:00,DEBIT,ATM,36053.46,TRAVEL,ANDROID 7,192.168.48.218,0
T0000181,A00195,2025-12-01T12:07:00,DEBIT,NETBANKING,66352.33,E-COM,ANDROID 13,192.168.137.225,0
T0000182,A00188,2025-12-01T15:20:00,CREDIT,ATM,18327.8,DINING,ANDROID 13,192.168.139.214,0
T0000183,A00099,2025-12-03T08:05:00,CREDIT,BRANCH,64902.21,E-COM,ANDROID 6,192.168.81.27,0
T0000184,A00107,2025-12-03T01:19:00,CREDIT,BRANCH,18166.99,DINING,iOS 16,192.168.14.221,0
T0000185,A00176,2025-12-03T18:14:00,DEBIT,BRANCH,92043.78,FUEL,iOS 15,192.168.23.17,0
T0000186,A00067,2025-12-03T05:42:00,CREDIT,UPI,70471.59,UTILITIES,iOS 17,192.168.173.133,0
T0000187,A00134,2025-12-03T07:59:00,DEBIT,BRANCH,66188.24,UTILITIES,ANDROID 12,192.168.76.215,0
T0000188,A00143,2025-12-03T02:50:00,DEBIT,UPI,64357.7,E-COM,ANDROID 13,192.168.253.223,0
T0000189,A00043,2025-12-01T14:06:00,CREDIT,ATM,24127.14,RENT,ANDROID 9,192.168.193.104,0
T0000190,A00061,2025-12-01T14:22:00,CREDIT,BRANCH,80136.07,HEALTH,ANDROID 13,192.168.228.81,0
T0000191,A00031,2025-12-02T18:57:00,DEBIT,UPI,40373.79,GROCERY,ANDROID 6,192.168.46.203,0
T0000192,A00155,2025-12-03T03:15:00,CREDIT,NETBANKING,65476.87,HEALTH,iOS 14,192.168.27.210,0
T0000193,A00058,2025-12-03T18:38:00,CREDIT,ATM,56037.08,HEALTH,iOS 14,192.168.231.30,0
T0000194,A00025,2025-12-03T12:50:00,DEBIT,UPI,34168.64,RENT,ANDROID 11,192.168.54.12,0
T0000195,A00043,2025-12-02T18:36:00,DEBIT,BRANCH,10740.8,UTILITIES,ANDROID 12,192.168.110.118,0
T0000196,A00049,2025-12-03T09:55:00,CREDIT,UPI,75727.08,GROCERY,iOS 17,192.168.63.198,0
T0000197,A00116,2025-12-02T16:13:00,DEBIT,BRANCH,483.55,GROCERY,ANDROID 12,192.168.247.237,0
T0000198,A00131,2025-12-03T14:19:00,DEBIT,NETBANKING,73062.94,E-COM,ANDROID 11,192.168.196.108,0
T0000199,A00156,2025-12-03T08:16:00,DEBIT,ATM,39817.11,TRAVEL,iOS 15,192.168.68.36,0
T0000200,A00106,2025-12-03T02:07:00,CREDIT,ATM,71201.84,UTILITIES,ANDROID 10,192.168.176.236,0
T0000201,A00173,2025-12-01T18:03:00,DEBIT,ATM,71049.76,TRAVEL,ANDROID 12,192.168.146.225,0
T0000202,A00109,2025-12-03T16:10:00,DEBIT,UPI,2575.95,E-COM,ANDROID 6,192.168.102.69,0
T0000203,A00193,2025-12-03T14:37:00,DEBIT,ATM,68354.86,E-COM,iOS 17,192.168.151.53,0
T0000204,A00193,2025-12-02T21:56:00,DEBIT,ATM,81411.92,FUEL,iOS 17,192.168.114.191,0
T0000205,A00166,2025-12-02T23:18:00,CREDIT,NETBANKING,51116.68,RENT,iOS 12,192.168.195.100,0
T0000206,A00107,2025-12-03T14:48:00,CREDIT,UPI,1345.88,RENT,ANDROID 13,192.168.115.234,0
T0000207,A00163,2025-12-03T09:06:00,CREDIT,NETBANKING,77625.87,UTILITIES,ANDROID 8,192.168.38.48,0
T0000208,A00045,2025-12-03T11:10:00,DEBIT,BRANCH,4111.39,RENT,ANDROID 8,192.168.82.150,0
T0000209,A00066,2025-12-01T09:23:00,CREDIT,BRANCH,70983.45,E-COM,ANDROID 11,192.168.26.199,0
T0000210,A00161,2025-12-03T03:01:00,CREDIT,BRANCH,79001.32,TRAVEL,ANDROID 11,192.168.112.245,0
T0000211,A00048,2025-12-02T20:32:00,DEBIT,NETBANKING,41622.33,DINING,ANDROID 9,192.168.109.170,0
T0000212,A00085,2025-12-02T07:36:00,CREDIT,ATM,21883.61,HEALTH,iOS 17,192.168.4.30,0
T0000213,A00172,2025-12-02T08:37:00,CREDIT,NETBANKING,90454.42,UTILITIES,iOS 17,192.168.164.98,1
T0000214,A00030,2025-12-02T11:20:00,CREDIT,ATM,2519.34,TRAVEL,ANDROID 14,192.168.228.125,0
T0000215,A00012,2025-12-02T05:14:00,DEBIT,ATM,51413.78,FUEL,ANDROID 14,192.168.3.161,0
T0000216,A00017,2025-12-01T23:23:00,DEBIT,BRANCH,83574.72,UTILITIES,ANDROID 12,192.168.36.192,0
T0000217,A00176,2025-12-01T19:29:00,DEBIT,BRANCH,71700.98,GROCERY,ANDROID 6,192.168.91.204,0
T0000218,A00065,2025-12-02T23:05:00,DEBIT,NETBANKING,91103.11,DINING,ANDROID 12,192.168.221.81,1
T0000219,A00005,2025-12-02T11:35:00,DEBIT,UPI,64160.2,FUEL,iOS 16,192.168.23.180,0
T0000220,A00019,2025-12-02T09:25:00,DEBIT,ATM,78699.85,RENT,iOS 14,192.168.224.98,0
T0000221,A00102,2025-12-03T17:07:00,DEBIT,BRANCH,15674.53,UTILITIES,ANDROID 12,192.168.151.246,0
T0000222,A00163,2025-12-01T18:50:00,CREDIT,ATM,95741.3,GROCERY,ANDROID 14,192.168.72.32,0
T0000223,A00011,2025-12-01T09:20:00,CREDIT,UPI,30503.88,TRAVEL,ANDROID 14,192.168.72.42,0
T0000224,A00048,2025-12-02T00:04:00,CREDIT,NETBANKING,11506.52,GROCERY,iOS 16,192.168.236.166,0
T0000225,A00141,2025-12-01T13:59:00,CREDIT,UPI,25106.23,UTILITIES,iOS 15,192.168.169.92,0
T0000226,A00033,2025-12-03T06:49:00,DEBIT,UPI,28549.46,FUEL,iOS 14,192.168.248.116,0
T0000227,A00085,2025-12-03T03:04:00,CREDIT,NETBANKING,56576.92,TRAVEL,iOS 15,192.168.86.2,0
