loan_id,customer_id,loan_type,principal_amount,interest_rate,emi_amount,sanction_date,status,dpd_days
L00070,C00058,PERSONAL,1000000,13.71,23118.18,2025-04-24,ACTIVE,0
L00071,C00163,GOLD,500000,7.94,10123.85,2024-01-21,ACTIVE,0
L00072,C00024,GOLD,1500000,8.26,30601.58,2024-11-21,ACTIVE,0
L00073,C00160,GOLD,500000,13.32,11458.61,2025-07-10,CLOSED,0
L00074,C00008,HOME,200000,14.11,4665.06,2024-04-08,ACTIVE,0
L00075,C00197,GOLD,750000,11.64,16547.22,2025-08-01,ACTIVE,0
L00076,C00161,GOLD,500000,11.81,11074.28,2024-01-23,ACTIVE,0
L00077,C00176,EDUCATION,500000,10.4,10722.2,2025-06-02,ACTIVE,0
L00078,C00107,EDUCATION,750000,8.53,15398.24,2024-12-12,ACTIVE,0
L00079,C00184,PERSONAL,1500000,14.41,35222.03,2023-10-26,NPA,64
L00080,C00195,PERSONAL,1000000,11.21,21847.3,2023-12-19,ACTIVE,0
L00081,C00032,PERSONAL,750000,8.86,15517.86,2025-03-18,ACTIVE,0
L00082,C00099,GOLD,750000,8.86,15517.86,2024-11-09,CLOSED,0
L00083,C00148,PERSONAL,300000,12.72,6783.0,2022-12-17,NPA,150
L00084,C00128,PERSONAL,750000,7.17,14911.13,2023-07-20,ACTIVE,0
L00085,C00062,AUTO,1000000,9.65,21075.24,2025-06-21,ACTIVE,0
L00086,C00153,EDUCATION,500000,11.03,10878.69,2025-02-24,ACTIVE,0
L00087,C00068,PERSONAL,750000,9.74,15839.51,2023-07-05,ACTIVE,0
L00088,C00144,AUTO,500000,11.15,10908.65,2025-05-05,ACTIVE,0
L00089,C00116,GOLD,500000,13.19,11425.23,2025-02-01,ACTIVE,0
L00090,C00025,EDUCATION,500000,12.96,11366.3,2023-11-08,ACTIVE,0
L00091,C00094,AUTO,300000,11.52,6600.79,2023-07-03,ACTIVE,0
L00092,C00012,HOME,300000,12.35,6726.52,2023-02-05,ACTIVE,0
L00093,C00039,GOLD,1000000,8.05,20300.33,2023-12-20,ACTIVE,0
L00094,C00158,PERSONAL,1000000,9.52,21011.64,2022-11-24,ACTIVE,0
L00095,C00182,GOLD,500000,10.56,10761.82,2025-08-29,ACTIVE,0
L00096,C00173,HOME,750000,11.38,16449.31,2025-08-09,ACTIVE,0
L00097,C00068,GOLD,1000000,8.71,20617.89,2025-06-19,ACTIVE,0
L00098,C00044,GOLD,1500000,12.41,33678.28,2023-08-16,ACTIVE,0
L00099,C00175,AUTO,200000,11.29,4377.47,2025-02-19,ACTIVE,0
L00100,C00113,PERSONAL,750000,8.14,15257.6,2024-08-11,ACTIVE,0
L00101,C00199,GOLD,750000,13.55,17276.71,2025-05-28,ACTIVE,0
L00102,C00133,AUTO,1000000,9.44,20972.55,2023-01-27,ACTIVE,0
L00103,C00081,AUTO,750000,13.84,17389.04,2023-11-01,ACTIVE,0
L00104,C00174,PERSONAL,1000000,10.63,21558.36,2024-05-16,ACTIVE,0
L00105,C00077,AUTO,500000,12.78,11320.31,2024-08-04,ACTIVE,0
L00106,C00126,PERSONAL,750000,9.62,15795.41,2024-03-21,ACTIVE,0
L00107,C00147,GOLD,750000,13.72,17342.51,2023-07-17,CLOSED,0
L00108,C00198,AUTO,500000,7.32,9976.26,2025-04-24,ACTIVE,0
L00109,C00114,PERSONAL,1500000,10.59,32307.77,2024-08-15,CLOSED,0
L00110,C00070,GOLD,1500000,9.04,31166.66,2025-02-21,ACTIVE,0
L00111,C00151,AUTO,300000,7.38,5994.29,2022-10-11,ACTIVE,0
L00112,C00060,HOME,200000,10.1,4259.26,2023-02-08,ACTIVE,0
L00113,C00198,AUTO,200000,14.23,4677.53,2024-11-13,ACTIVE,0
L00114,C00122,EDUCATION,1500000,8.5,30774.8,2024-02-22,ACTIVE,0
L00115,C00166,HOME,200000,11.89,4437.78,2024-06-14,ACTIVE,0
L00116,C00186,HOME,300000,10.13,6393.32,2024-10-07,CLOSED,0
L00117,C00010,EDUCATION,750000,8.4,15351.28,2024-02-18,CLOSED,0
L00118,C00003,PERSONAL,1000000,11.52,22002.65,2023-11-16,ACTIVE,0
L00119,C00165,GOLD,1000000,10.7,21593.11,2025-01-01,CLOSED,0
L00120,C00120,PERSONAL,300000,13.07,6836.68,2023-11-25,ACTIVE,0
